Start Time, Client Name, Tables Archived, End Time, Total Time
2018-10-24 14:59:11,mine,table1,2018-10-24 14:59:11,0.159
2018-10-24 15:04:20,mine,table2,2018-10-24 15:04:21,0.032
2018-10-24 15:04:20,mine,table1,2018-10-24 15:04:21,0.181
2018-10-24 15:04:54,mine,table2,2018-10-24 15:04:54,0.006
2018-10-24 15:04:54,mine,table1,2018-10-24 15:04:54,0.006
2018-10-24 15:08:09,mine,table2,2018-10-24 15:08:09,0.043
2018-10-24 15:08:09,mine,table1,2018-10-24 15:08:09,0.043
2018-10-24 15:10:05,mine,table1,2018-10-24 15:10:05,0.006
2018-10-24 15:10:05,mine,table2,2018-10-24 15:10:05,0.181
2018-10-24 15:26:25,one,table2,2018-10-24 15:26:26,0.309
2018-10-24 15:34:24,one,table2,2018-10-24 15:34:24,0.085
2018-10-24 15:34:45,one,table2,2018-10-24 15:34:45,0.005
2018-10-24 15:34:53,one,table2,2018-10-24 15:34:54,0.157
2018-10-24 15:35:06,one,table2,2018-10-24 15:35:06,0.014
2018-10-24 15:35:06,one,table2,2018-10-24 15:35:06,0.007
2018-10-24 15:35:07,one,table2,2018-10-24 15:35:07,0.005
2018-10-24 15:35:07,one,table2,2018-10-24 15:35:07,0.010
2018-10-24 15:37:33,one,table1,2018-10-24 15:37:33,0.013
2018-10-24 15:42:40,one,table1,2018-10-24 15:42:40,0.018
2018-10-24 15:44:26,one,table1,2018-10-24 15:44:26,0.007
2018-10-24 15:44:26,one,table2,2018-10-24 15:44:26,0.008
2018-10-24 16:37:19,one,table2,2018-10-24 16:37:19,0.282
2018-10-24 16:37:19,one,table1,2018-10-24 16:37:19,0.109
2018-10-24 16:39:03,one,table2,2018-10-24 16:39:03,0.025
2018-10-24 16:39:03,one,table1,2018-10-24 16:39:03,0.024
2018-10-24 16:40:40,one,table2,2018-10-24 16:40:40,0.021
2018-10-24 16:40:40,one,table1,2018-10-24 16:40:40,0.021
2018-10-24 16:42:13,one,table2,2018-10-24 16:42:13,0.014
2018-10-24 16:42:13,one,table1,2018-10-24 16:42:13,0.014
2018-10-24 16:43:34,one,table1,2018-10-24 16:43:34,0.005
2018-10-24 16:44:29,one,table1,2018-10-24 16:44:29,0.018
2018-10-24 16:57:59,one,table1,2018-10-24 16:57:59,0.057
2018-10-24 17:01:45,one,table1,2018-10-24 17:01:45,0.136
2018-10-24 17:28:00,mine,table2,2018-10-24 17:28:00,0.230
2018-10-24 17:28:00,mine,table1,2018-10-24 17:28:00,0.230
